Commodity,date,Year,month_num,export_value,import_value
11211 Cattle,2015-01-01,2015,1,16375478,145433883
11211 Cattle,2015-02-01,2015,2,23156377,224766531
11211 Cattle,2015-03-01,2015,3,20834301,292839807
11211 Cattle,2015-04-01,2015,4,23966380,266826473
11211 Cattle,2015-05-01,2015,5,38998873,183073215
11211 Cattle,2015-06-01,2015,6,17563403,184263712
11211 Cattle,2015-07-01,2015,7,24707624,168873758
11211 Cattle,2015-08-01,2015,8,18247134,139638432
11211 Cattle,2015-09-01,2015,9,17763229,167712102
11211 Cattle,2015-10-01,2015,10,23323980,167029847
11211 Cattle,2015-11-01,2015,11,28775678,147968239
11211 Cattle,2015-12-01,2015,12,23631313,144782822
11211 Cattle,2016-01-01,2016,1,17280202,113702830
11211 Cattle,2016-02-01,2016,2,18731448,156777819
11211 Cattle,2016-03-01,2016,3,17006407,237151483
11211 Cattle,2016-04-01,2016,4,17716688,217277309
11211 Cattle,2016-05-01,2016,5,23385866,137448973
11211 Cattle,2016-06-01,2016,6,18192337,113400780
11211 Cattle,2016-07-01,2016,7,16629871,81089032
11211 Cattle,2016-08-01,2016,8,16245170,103041623
11211 Cattle,2016-09-01,2016,9,19400800,113348382
11211 Cattle,2016-10-01,2016,10,23154833,113295514
11211 Cattle,2016-11-01,2016,11,29735766,147637794
11211 Cattle,2016-12-01,2016,12,28694737,130096576
11211 Cattle,2017-01-01,2017,1,30113870,114077184
11211 Cattle,2017-02-01,2017,2,24388390,136499444
11211 Cattle,2017-03-01,2017,3,28363863,182029312
11211 Cattle,2017-04-01,2017,4,27876656,133685033
11211 Cattle,2017-05-01,2017,5,21630383,145916055
11211 Cattle,2017-06-01,2017,6,29806087,116907023
11211 Cattle,2017-07-01,2017,7,23400391,109601472
11211 Cattle,2017-08-01,2017,8,27546885,97602782
11211 Cattle,2017-09-01,2017,9,37775232,103371442
11211 Cattle,2017-10-01,2017,10,57292364,127628388
11211 Cattle,2017-11-01,2017,11,56714388,173293728
11211 Cattle,2017-12-01,2017,12,49946076,136298111
11211 Cattle,2018-01-01,2018,1,24115837,101003938
11211 Cattle,2018-02-01,2018,2,42651264,128422650
11211 Cattle,2018-03-01,2018,3,33327403,175070398
11211 Cattle,2018-04-01,2018,4,31504542,158141584
11211 Cattle,2018-05-01,2018,5,32420906,146990659
11211 Cattle,2018-06-01,2018,6,31159122,130310867
11211 Cattle,2018-07-01,2018,7,31974513,110831237
11211 Cattle,2018-08-01,2018,8,33081566,102813558
11211 Cattle,2018-09-01,2018,9,49432083,111558111
11211 Cattle,2018-10-01,2018,10,66402108,145507239
11211 Cattle,2018-11-01,2018,11,40480014,170524380
