Commodity,flow,series_id
111 Agricultural Products,export,1
111 Agricultural Products,import,2
1111 Oilseeds & Grains,export,3
1111 Oilseeds & Grains,import,4
11111 Soybeans,export,5
11111 Soybeans,import,6
111110 Soybeans,export,7
111110 Soybeans,import,8
11112 Oilseeds (except Soybean),export,9
11112 Oilseeds (except Soybean),import,10
111120 Oilseeds (except Soybean),export,11
111120 Oilseeds (except Soybean),import,12
11113 Dry Peas & Beans,export,13
11113 Dry Peas & Beans,import,14
111130 Dry Peas & Beans,export,15
111130 Dry Peas & Beans,import,16
11114 Wheat,export,17
11114 Wheat,import,18
111140 Wheat,export,19
111140 Wheat,import,20
11115 Corn,export,21
11115 Corn,import,22
111150 Corn,export,23
111150 Corn,import,24
11119 Other Grains,export,25
11119 Other Grains,import,26
111199 Other Grains,export,27
111199 Other Grains,import,28
1112 Vegetables & Melons,export,29
1112 Vegetables & Melons,import,30
11121 Vegetables & Melons,export,31
11121 Vegetables & Melons,import,32
111211 Potatoes,export,33
111211 Potatoes,import,34
111219 Other Vegetables (except Potatoes) And Melons,export,35
111219 Other Vegetables (except Potatoes) And Melons,import,36
1113 Fruits & Tree Nuts,export,37
1113 Fruits & Tree Nuts,import,38
11131 Oranges,export,39
11131 Oranges,import,40
111310 Oranges,export,41
111310 Oranges,import,42
11132 Citrus Fruits (except Oranges),export,43
11132 Citrus Fruits (except Oranges),import,44
111320 Citrus Fruits (except Oranges),export,45
111320 Citrus Fruits (except Oranges),import,46
11133 Noncitrus Fruits & Tree Nuts,export,47
11133 Noncitrus Fruits & Tree Nuts,import,48
111331 Apples,export,49
111331 Apples,import,50
111332 Grapes,export,51
111332 Grapes,import,52
111333 Strawberries,export,53
111333 Strawberries,import,54
111334 Berries (except Strawberries),export,55
111334 Berries (except Strawberries),import,56
111335 Tree Nuts,export,57
111335 Tree Nuts,import,58
111339 Other Noncitrus Fruits,export,59
111339 Other Noncitrus Fruits,import,60
"1114 Mushrooms, Nursery & Related Products",export,61
"1114 Mushrooms, Nursery & Related Products",import,62
11141 Mushrooms,export,63
11141 Mushrooms,import,64
111411 Mushrooms,export,65
111411 Mushrooms,import,66
"11142 Nursery Products, Flowers, Seeds & Foliage",export,67
"11142 Nursery Products, Flowers, Seeds & Foliage",import,68
111421 Nursery Products & Trees,export,69
111421 Nursery Products & Trees,import,70
"111422 Fresh Flowers, Seeds & Foliage",export,71
"111422 Fresh Flowers, Seeds & Foliage",import,72
1119 Other Agricultural Products,export,73
1119 Other Agricultural Products,import,74
11191 Tobacco,export,75
11191 Tobacco,import,76
111910 Tobacco,export,77
111910 Tobacco,import,78
"11194 Hay, Alfalfa Hay, And Clover",export,79
"11194 Hay, Alfalfa Hay, And Clover",import,80
"111940 Hay, Alfalfa Hay, And Clover",export,81
"111940 Hay, Alfalfa Hay, And Clover",import,82
11199 All Other Agricultural Products,export,83
11199 All Other Agricultural Products,import,84
111998 Other Miscellaneous Agricultural Products,export,85
111998 Other Miscellaneous Agricultural Products,import,86
112 Livestock & Livestock Products,export,87
112 Livestock & Livestock Products,import,88
1121 Cattle,export,89
1121 Cattle,import,90
1122 Swine,export,91
1122 Swine,import,92
11221 Swine,export,93
11221 Swine,import,94
112210 Swine,export,95
112210 Swine,import,96
1123 Poultry & Eggs,export,97
1123 Poultry & Eggs,import,98
1123X Poultry And Eggs,export,99
1123X Poultry And Eggs,import,100
1123XX Poultry And Eggs,export,101
1123XX Poultry And Eggs,import,102
"1124 Sheep, Goats & Fine Animal Hair",export,103
"1124 Sheep, Goats & Fine Animal Hair",import,104
11241 Sheep & Wool,export,105
11241 Sheep & Wool,import,106
112410 Sheep & Wool,export,107
112410 Sheep & Wool,import,108
1125 Farmed Fish And Related Products,export,109
1125 Farmed Fish And Related Products,import,110
11251 Farmed Fish & Related Products,export,111
11251 Farmed Fish & Related Products,import,112
"112511 Fish, Farmed",export,113
"112511 Fish, Farmed",import,114
"112512 Shellfish, Farmed",export,115
"112512 Shellfish, Farmed",import,116
1129 Other Animals,export,117
1129 Other Animals,import,118
11291 Bees & Honey,export,119
11291 Bees & Honey,import,120
112910 Bees & Honey,export,121
112910 Bees & Honey,import,122
11292 Horses & Other Equine,export,123
11292 Horses & Other Equine,import,124
112920 Horses & Other Equine,export,125
112920 Horses & Other Equine,import,126
"11293 Rabbits, Foxes, Furskins & Cuttings",export,127
"11293 Rabbits, Foxes, Furskins & Cuttings",import,128
"112930 Rabbits, Foxes, Furskins, & Cuttings",export,129
"112930 Rabbits, Foxes, Furskins, & Cuttings",import,130
11299 All Other Live Animals,export,131
11299 All Other Live Animals,import,132
112990 All Other Live Animals,export,133
112990 All Other Live Animals,import,134
"113 Forestry Products, Nesoi",export,135
"113 Forestry Products, Nesoi",import,136
1132 Forestry Products,export,137
1132 Forestry Products,import,138
11321 Forestry Products,export,139
11321 Forestry Products,import,140
113210 Forestry Products,export,141
113210 Forestry Products,import,142
1133 Timber & Logs,export,143
1133 Timber & Logs,import,144
11331 Timber & Logs,export,145
11331 Timber & Logs,import,146
113310 Timber & Logs,export,147
113310 Timber & Logs,import,148
"114 Fish, Fresh/chilled/frozen & Other Marine Products",export,149
"114 Fish, Fresh/chilled/frozen & Other Marine Products",import,150
"1141 Fish, Fresh/chilled/frozen & Other Marine Products",export,151
"1141 Fish, Fresh/chilled/frozen & Other Marine Products",import,152
"11411 Fish, Fresh/chilled/frozen & Other Marine Products",export,153
"11411 Fish, Fresh/chilled/frozen & Other Marine Products",import,154
114111 Finfish Fresh/chilled/frozen; Finfish Products,export,155
114111 Finfish Fresh/chilled/frozen; Finfish Products,import,156
114112 Shellfish Fresh/chilled/frozen; Shellfish Products,export,157
114112 Shellfish Fresh/chilled/frozen; Shellfish Products,import,158
114119 Other Marine Products,export,159
114119 Other Marine Products,import,160
211 Oil & Gas,export,161
211 Oil & Gas,import,162
2111 Oil & Gas,export,163
2111 Oil & Gas,import,164
212 Minerals & Ores,export,165
212 Minerals & Ores,import,166
2121 Coal & Petroleum Gases,export,167
2121 Coal & Petroleum Gases,import,168
21211 Coal,export,169
21211 Coal,import,170
2122 Metal Ores,export,171
2122 Metal Ores,import,172
21221 Iron Ores,export,173
21221 Iron Ores,import,174
212210 Iron Ores,export,175
212210 Iron Ores,import,176
21229 Other Metal Ores,export,177
21229 Other Metal Ores,import,178
2123 Nonmetallic Minerals,export,179
2123 Nonmetallic Minerals,import,180
21231 Stone,export,181
21231 Stone,import,182
212311 Dimension Stone,export,183
212311 Dimension Stone,import,184
212312 Limestone,export,185
212312 Limestone,import,186
212319 Other Crushed & Broken Stone,export,187
212319 Other Crushed & Broken Stone,import,188
21232 Sand/gravel/clay/refractory Minerals,export,189
21232 Sand/gravel/clay/refractory Minerals,import,190
212321 Construction Sand And Gravel,export,191
212321 Construction Sand And Gravel,import,192
212322 Industrial Sand,export,193
212322 Industrial Sand,import,194
21239 Other Nonmetallic Minerals,export,195
21239 Other Nonmetallic Minerals,import,196
311 Food & Kindred Products,export,197
311 Food & Kindred Products,import,198
3111 Animal Foods,export,199
3111 Animal Foods,import,200
31111 Animal Foods,export,201
31111 Animal Foods,import,202
311111 Dog & Cat Foods,export,203
311111 Dog & Cat Foods,import,204
311119 Other Animal Foods,export,205
311119 Other Animal Foods,import,206
3112 Grain & Oilseed Milling Products,export,207
3112 Grain & Oilseed Milling Products,import,208
31121 Flour & Malt,export,209
31121 Flour & Malt,import,210
311211 Flour & Other Grain Mill Products,export,211
311211 Flour & Other Grain Mill Products,import,212
311212 Milled Rice & By-products,export,213
311212 Milled Rice & By-products,import,214
311213 Malts,export,215
311213 Malts,import,216
31122 Starch & Vegetable Fats & Oils,export,217
31122 Starch & Vegetable Fats & Oils,import,218
311221 Wet Corn Milling Products,export,219
311221 Wet Corn Milling Products,import,220
311224 Soybean Oil & Other Oilseed,export,221
311224 Soybean Oil & Other Oilseed,import,222
311225 Margarine & Edible Fats & Oils,export,223
311225 Margarine & Edible Fats & Oils,import,224
31123 Breakfast Cereals,export,225
31123 Breakfast Cereals,import,226
311230 Breakfast Cereals,export,227
