Commodity,flow,mu,sd
111 Agricultural Products,export,22.51360630912338,0.2503418198037352
111 Agricultural Products,import,21.920650356807716,0.18485804495093996
1111 Oilseeds & Grains,export,21.994584655015647,0.3608445372340732
1111 Oilseeds & Grains,import,19.40307122593756,0.22651506130354124
11111 Soybeans,export,21.167054256464017,0.7090672677872173
11111 Soybeans,import,17.1611057900791,0.5225408813158423
111110 Soybeans,export,21.167054256464017,0.7090672677872173
111110 Soybeans,import,17.1611057900791,0.5225408813158423
11112 Oilseeds (except Soybean),export,17.257859818628067,0.5237944695361534
11112 Oilseeds (except Soybean),import,17.882270007294082,0.32574874977227436
111120 Oilseeds (except Soybean),export,17.257859818628067,0.5237944695361534
111120 Oilseeds (except Soybean),import,17.882270007294082,0.32574874977227436
11113 Dry Peas & Beans,export,18.109988250183648,0.25500647304904683
11113 Dry Peas & Beans,import,17.524396063192768,0.24749421282471237
111130 Dry Peas & Beans,export,18.109988250183648,0.25500647304904683
111130 Dry Peas & Beans,import,17.524396063192768,0.24749421282471237
11114 Wheat,export,20.053435058053434,0.2362609727242715
11114 Wheat,import,17.672150205614745,0.4211932797367472
111140 Wheat,export,20.053435058053434,0.2362609727242715
111140 Wheat,import,17.672150205614745,0.4211932797367472
11115 Corn,export,20.647168474332393,0.4180157413906944
11115 Corn,import,17.147488129244195,0.5435962890320382
111150 Corn,export,20.647168474332393,0.4180157413906944
111150 Corn,import,17.147488129244195,0.5435962890320382
11119 Other Grains,export,18.516193947293086,0.6434401346102849
11119 Other Grains,import,17.760286253492158,0.29322168709800595
111199 Other Grains,export,18.516193947293086,0.6434401346102849
111199 Other Grains,import,17.760286253492158,0.29322168709800595
1112 Vegetables & Melons,export,19.69403125044667,0.14397941858356056
1112 Vegetables & Melons,import,20.445918948023223,0.24291607703848725
11121 Vegetables & Melons,export,19.69403125044667,0.14397941858356056
11121 Vegetables & Melons,import,20.445918948023223,0.24291607703848725
111211 Potatoes,export,17.42059230992291,0.17422750127380823
111211 Potatoes,import,17.12803184522651,0.37867897755055213
111219 Other Vegetables (except Potatoes) And Melons,export,19.58326654581623,0.15463141166418753
111219 Other Vegetables (except Potatoes) And Melons,import,20.406943224630037,0.24499860031476967
1113 Fruits & Tree Nuts,export,20.856173499074032,0.16341436315122884
1113 Fruits & Tree Nuts,import,21.330098853711686,0.180545157491982
11131 Oranges,export,17.113509175784447,1.1888034208768308
11131 Oranges,import,16.02412100184796,1.0335448133777845
111310 Oranges,export,17.113509175784447,1.1888034208768308
111310 Oranges,import,16.02412100184796,1.0335448133777845
11132 Citrus Fruits (except Oranges),export,17.03132670882915,0.7083910950693989
11132 Citrus Fruits (except Oranges),import,18.263989001180907,0.4930068500434971
111320 Citrus Fruits (except Oranges),export,17.03132670882915,0.7083910950693989
111320 Citrus Fruits (except Oranges),import,18.263989001180907,0.4930068500434971
11133 Noncitrus Fruits & Tree Nuts,export,20.782476259542634,0.17957987122959188
11133 Noncitrus Fruits & Tree Nuts,import,21.264646109176063,0.19974493038732483
111331 Apples,export,18.15067298539907,0.24773926138282376
111331 Apples,import,16.05938825401314,1.1042614760313163
111332 Grapes,export,17.68041099125802,0.9396562370432313
111332 Grapes,import,17.692383197191063,2.08767543351646
111333 Strawberries,export,17.520595654378297,0.28287243194084405
111333 Strawberries,import,16.974433598633798,1.8600298108706383
111334 Berries (except Strawberries),export,17.69717231426486,0.2567987455041337
111334 Berries (except Strawberries),import,18.972448167093845,0.7533100848474512
111335 Tree Nuts,export,20.282790062460684,0.2659318331289896
111335 Tree Nuts,import,19.414645065765765,0.22690406301427232
111339 Other Noncitrus Fruits,export,18.860296245164783,0.39703110849965806
111339 Other Noncitrus Fruits,import,20.73841739170377,0.1557364006942679
"1114 Mushrooms, Nursery & Related Products",export,17.63578841052835,0.31359843499555407
"1114 Mushrooms, Nursery & Related Products",import,19.357268159727987,0.5231136621841003
11141 Mushrooms,export,15.277027837645061,0.24159708530836657
11141 Mushrooms,import,17.61415079799443,1.1599330224984017
111411 Mushrooms,export,15.277027837645061,0.24159708530836657
111411 Mushrooms,import,17.083215214502747,0.3650930247994861
"11142 Nursery Products, Flowers, Seeds & Foliage",export,17.530490710267237,0.33843137303144727
"11142 Nursery Products, Flowers, Seeds & Foliage",import,19.059768822964955,0.3254064357101368
111421 Nursery Products & Trees,export,17.300451446600977,0.40716943546455786
111421 Nursery Products & Trees,import,18.028047068173652,0.316530983385787
"111422 Fresh Flowers, Seeds & Foliage",export,15.879293928616384,0.21546617107744978
