Commodity,date,Year,month_num,export_value,import_value
1121X Cattle,2022-01-01,2022,1,38823400,130748068
1121X Cattle,2022-02-01,2022,2,34995756,152678593
1121X Cattle,2022-03-01,2022,3,25859429,191542761
1121X Cattle,2022-04-01,2022,4,31780640,138965946
1121X Cattle,2022-05-01,2022,5,30187607,142061910
1121X Cattle,2022-06-01,2022,6,27195557,136337910
1121X Cattle,2022-07-01,2022,7,24477291,107076283
1121X Cattle,2022-08-01,2022,8,32274705,123999085
1121X Cattle,2022-09-01,2022,9,47901249,111534618
1121X Cattle,2022-10-01,2022,10,65808612,129231413
1121X Cattle,2022-11-01,2022,11,50932411,178731189
1121X Cattle,2022-12-01,2022,12,46449018,179444030
1121X Cattle,2023-01-01,2023,1,34403050,151726603
1121X Cattle,2023-02-01,2023,2,32733034,167137643
1121X Cattle,2023-03-01,2023,3,29703343,225426155
1121X Cattle,2023-04-01,2023,4,30768067,186913081
1121X Cattle,2023-05-01,2023,5,24530952,176298610
1121X Cattle,2023-06-01,2023,6,36254559,167436464
1121X Cattle,2023-07-01,2023,7,30878524,147450677
1121X Cattle,2023-08-01,2023,8,34067087,178988138
1121X Cattle,2023-09-01,2023,9,46188892,236826396
1121X Cattle,2023-10-01,2023,10,54745094,261364901
1121X Cattle,2023-11-01,2023,11,32957710,287961226
1121X Cattle,2023-12-01,2023,12,32999841,203616027
1121XX Cattle,2022-01-01,2022,1,38823400,130748068
1121XX Cattle,2022-02-01,2022,2,34995756,152678593
1121XX Cattle,2022-03-01,2022,3,25859429,191542761
1121XX Cattle,2022-04-01,2022,4,31780640,138965946
1121XX Cattle,2022-05-01,2022,5,30187607,142061910
1121XX Cattle,2022-06-01,2022,6,27195557,136337910
1121XX Cattle,2022-07-01,2022,7,24477291,107076283
1121XX Cattle,2022-08-01,2022,8,32274705,123999085
1121XX Cattle,2022-09-01,2022,9,47901249,111534618
1121XX Cattle,2022-10-01,2022,10,65808612,129231413
1121XX Cattle,2022-11-01,2022,11,50932411,178731189
1121XX Cattle,2022-12-01,2022,12,46449018,179444030
1121XX Cattle,2023-01-01,2023,1,34403050,151726603
1121XX Cattle,2023-02-01,2023,2,32733034,167137643
1121XX Cattle,2023-03-01,2023,3,29703343,225426155
1121XX Cattle,2023-04-01,2023,4,30768067,186913081
1121XX Cattle,2023-05-01,2023,5,24530952,176298610
1121XX Cattle,2023-06-01,2023,6,36254559,167436464
1121XX Cattle,2023-07-01,2023,7,30878524,147450677
1121XX Cattle,2023-08-01,2023,8,34067087,178988138
1121XX Cattle,2023-09-01,2023,9,46188892,236826396
1121XX Cattle,2023-10-01,2023,10,54745094,261364901
1121XX Cattle,2023-11-01,2023,11,32957710,287961226
1121XX Cattle,2023-12-01,2023,12,32999841,203616027
115 Products Supporting Agriculture And Forestry,2022-01-01,2022,1,31778313,5119518
