Country,Total Exports Value ($US),Customs Import Value (Gen) ($US),Month,Year
Afghanistan,"31,234,295","1,969,612",Jan,2015
Afghanistan,"37,258,645","5,899,848",Feb,2015
Afghanistan,"88,786,227","1,447,167",Mar,2015
Afghanistan,"39,725,459","2,804,596",Apr,2015
Afghanistan,"29,170,536","2,373,845",May,2015
Afghanistan,"37,764,776","1,335,968",Jun,2015
Afghanistan,"26,732,565","597,439",Jul,2015
Afghanistan,"29,491,959","972,349",Aug,2015
Afghanistan,"30,605,221","1,254,457",Sep,2015
Afghanistan,"89,580,708","3,133,392",Oct,2015
Afghanistan,"21,834,409","682,892",Nov,2015
Afghanistan,"16,526,724","1,129,686",Dec,2015
Afghanistan,"174,149,992","1,849,499",Jan,2016
Afghanistan,"22,687,231","1,501,741",Feb,2016
Afghanistan,"88,497,655","1,612,984",Mar,2016
Afghanistan,"48,137,822","5,462,302",Apr,2016
Afghanistan,"116,862,139","1,591,259",May,2016
Afghanistan,"54,868,991","2,231,922",Jun,2016
Afghanistan,"66,566,079","2,471,156",Jul,2016
Afghanistan,"47,919,279","2,515,593",Aug,2016
Afghanistan,"23,436,296","6,999,279",Sep,2016
Afghanistan,"78,170,604","2,350,618",Oct,2016
Afghanistan,"142,854,024","3,430,713",Nov,2016
Afghanistan,"49,724,239","1,698,860",Dec,2016
Afghanistan,"26,716,225","1,298,078",Jan,2017
Afghanistan,"77,060,907","2,346,457",Feb,2017
Afghanistan,"38,976,635","970,349",Mar,2017
Afghanistan,"142,041,049","1,413,717",Apr,2017
Afghanistan,"41,358,090","1,225,195",May,2017
Afghanistan,"59,069,779","1,311,197",Jun,2017
Afghanistan,"246,353,544","841,297",Jul,2017
Afghanistan,"67,189,171","494,031",Aug,2017
Afghanistan,"104,029,661","465,931",Sep,2017
Afghanistan,"23,295,134","858,686",Oct,2017
Afghanistan,"82,151,699","846,064",Nov,2017
Afghanistan,"33,990,137","2,352,620",Dec,2017
Afghanistan,"38,624,557","4,716,551",Jan,2018
Afghanistan,"84,951,583","1,239,579",Feb,2018
Afghanistan,"185,040,079","3,008,230",Mar,2018
Afghanistan,"77,188,985","3,695,227",Apr,2018
Afghanistan,"154,642,007","1,457,008",May,2018
Afghanistan,"127,036,912","3,581,818",Jun,2018
Afghanistan,"124,762,078","520,985",Jul,2018
Afghanistan,"78,053,173","2,386,567",Aug,2018
Afghanistan,"65,711,542","1,070,001",Sep,2018
Afghanistan,"139,512,517","3,288,561",Oct,2018
Afghanistan,"91,035,207","3,405,552",Nov,2018
Afghanistan,"60,845,792","1,038,649",Dec,2018
Afghanistan,"60,415,467","1,752,609",Jan,2019
Afghanistan,"53,989,267","3,067,102",Feb,2019
Afghanistan,"97,446,322","3,769,555",Mar,2019
Afghanistan,"92,780,660","4,940,447",Apr,2019
Afghanistan,"33,811,654","9,117,172",May,2019
Afghanistan,"64,503,154","2,835,776",Jun,2019
Afghanistan,"52,718,976","2,081,448",Jul,2019
Afghanistan,"36,058,417","5,991,855",Aug,2019
Afghanistan,"52,779,451","951,434",Sep,2019
Afghanistan,"61,334,603","1,915,013",Oct,2019
Afghanistan,"58,480,638","1,016,288",Nov,2019
Afghanistan,"93,548,958","1,305,375",Dec,2019
Afghanistan,"58,761,945","2,275,711",Jan,2020
Afghanistan,"83,495,690","1,520,881",Feb,2020
Afghanistan,"40,429,401","1,736,881",Mar,2020
Afghanistan,"60,787,299","1,105,020",Apr,2020
Afghanistan,"47,843,743","590,472",May,2020
Afghanistan,"79,863,098","1,425,891",Jun,2020
Afghanistan,"45,716,600","814,840",Jul,2020
Afghanistan,"99,324,802","914,976",Aug,2020
Afghanistan,"48,507,152","1,222,394",Sep,2020
Afghanistan,"46,489,958","2,100,920",Oct,2020
Afghanistan,"36,463,384","2,995,809",Nov,2020
Afghanistan,"25,668,682","1,653,433",Dec,2020
Afghanistan,"15,427,322","1,901,555",Jan,2021
Afghanistan,"117,532,972","1,390,679",Feb,2021
Afghanistan,"50,472,576","2,338,706",Mar,2021
Afghanistan,"16,877,694","2,855,084",Apr,2021
Afghanistan,"14,301,296","3,068,250",May,2021
Afghanistan,"5,107,842","1,683,785",Jun,2021
Afghanistan,"8,633,864","1,919,085",Jul,2021
Afghanistan,"2,907,490","1,432,950",Aug,2021
Afghanistan,"412,808","674,084",Sep,2021
Afghanistan,"531,054","1,775,359",Oct,2021
Afghanistan,"966,948","1,480,744",Nov,2021
Afghanistan,"2,689,085","1,374,020",Dec,2021
Afghanistan,"7,061,634","2,755,228",Jan,2022
Afghanistan,"1,050,759","1,305,945",Feb,2022
Afghanistan,"1,302,643","1,673,444",Mar,2022
Afghanistan,"1,058,876","2,144,377",Apr,2022
Afghanistan,"760,271","1,253,749",May,2022
Afghanistan,"1,965,885","1,727,893",Jun,2022
Afghanistan,"1,424,793","1,562,862",Jul,2022
Afghanistan,"2,082,436","1,338,202",Aug,2022
Afghanistan,"951,177","4,257,329",Sep,2022
Afghanistan,"2,218,572","661,279",Oct,2022
Afghanistan,"895,644","1,920,720",Nov,2022
Afghanistan,"1,031,342","1,771,165",Dec,2022
Afghanistan,"1,913,016","968,704",Jan,2023
Afghanistan,"2,049,948","2,051,814",Feb,2023
Afghanistan,"1,176,740","3,209,930",Mar,2023
Afghanistan,"2,383,546","1,378,415",Apr,2023
Afghanistan,"1,262,691","2,301,397",May,2023
Afghanistan,"2,226,485","1,212,981",Jun,2023
Afghanistan,"2,290,070","679,631",Jul,2023
Afghanistan,"1,327,475","2,301,989",Aug,2023
Afghanistan,"1,982,325","1,356,716",Sep,2023
Afghanistan,"415,346","1,099,836",Oct,2023
Afghanistan,"664,598","1,398,175",Nov,2023
Afghanistan,"31,922,649","1,942,189",Dec,2023
Albania,"2,093,928","24,542,750",Jan,2015
Albania,"2,210,894","2,860,092",Feb,2015
Albania,"3,835,992","2,555,908",Mar,2015
Albania,"4,084,614","14,358,584",Apr,2015
Albania,"3,096,707","12,453,402",May,2015
Albania,"3,221,386","17,515,847",Jun,2015
Albania,"2,078,808","20,781,212",Jul,2015
Albania,"2,241,252","26,709,464",Aug,2015
Albania,"1,903,339","2,656,446",Sep,2015
Albania,"2,009,254","16,441,795",Oct,2015
Albania,"1,809,729","17,517,679",Nov,2015
Albania,"2,311,762","1,688,040",Dec,2015
Albania,"1,736,416","1,613,255",Jan,2016
Albania,"3,429,357","2,419,991",Feb,2016
Albania,"3,198,063","1,478,094",Mar,2016
Albania,"3,444,828","2,095,490",Apr,2016
Albania,"9,525,669","11,382,911",May,2016
Albania,"5,589,270","22,386,733",Jun,2016
Albania,"3,848,630","22,231,965",Jul,2016
Albania,"5,391,733","27,105,354",Aug,2016
Albania,"3,110,767","15,247,986",Sep,2016
Albania,"3,603,363","13,743,513",Oct,2016
Albania,"4,210,043","2,819,030",Nov,2016
Albania,"3,205,276","2,089,349",Dec,2016
